11,11/5/16,1,2,1,1,1,Bob Board,Aaron Apple,Photoshop,,,,
12,11/6/16,2,4,3,4,2,Edgar Epitaph,Dylan Danger,,Blue,,,
13,11/7/16,3,6,5,7,3,Hitler Helm,Aaron Apple,,,4,Kaitlyn Kull,11/8/16
14,11/8/16,4,8,7,10,1,Bob Board,George Gem,Adobo Acrobat,,,Charlie Cup,11/10/16
15,11/9/16,5,10,9,13,2,Edgar Epitaph,Luna Larn,,Green,,,
16,11/10/16,6,12,11,16,3,Hitler Helm,Dylan Danger,,,7,Faroah Fan,11/15/16
17,11/11/16,7,14,13,19,1,Bob Board,Aaron Apple,Access,,,,
18,11/12/16,8,16,15,22,2,Edgar Epitaph,Dylan Danger,,Blue,,,
19,11/13/16,9,18,17,25,3,Hitler Helm,Luna Larn,,,8,Charlie Cup,11/17/16
20,11/14/16,10,20,19,28,1,Bob Board,Dylan Danger,Gemini,,,Kaitlyn Kull,11/17/16
